Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
copy-of-mini-jungle,Ceterpiece in cement,"<p>Potted center piece, mixed varieties of Non-toxic plants in a Concrete round planter </p>
<p>Includes one crystal gems , driftwood and pebbles</p>
<p>Planter dimensions: 13.7 inches diameter  by 5 inches height. </p>
<p>Plants: Birdnest fern, polka dot and creeping fig </p>
<p>Care: bright Indirect light is best tolerates lower light levels</p>
<p>Water: 2 small cups of water dispersed around the base of the planter every 7 to 10 days.</p>
<p> </p>
<p> </p>
<p> </p>",JUSTPLANTS,,,"gift, Low light, Medium Light Low, Pet friendly, potted plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,99.00,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33896.jpg?v=1643840806,1,,false,,,,,,,,,,,,,,,,,kg,,30.00,draft
copy-of-mini-jungle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33894.jpg?v=1643840806,2,,,,,,,,,,,,,,,,,,,,,,
copy-of-mini-jungle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33893.jpg?v=1643840806,3,,,,,,,,,,,,,,,,,,,,,,
copy-of-mini-jungle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33892.jpg?v=1643840806,4,,,,,,,,,,,,,,,,,,,,,,
jade-tree-in-cement,Jade tree in Ceramic,"<p>Add color and texture with this amazing and easy to grow Jade plants,   potted in a ultra modern Ceramic planter and topped with white pebbles.</p>
<p>About the Plant </p>
<p>Jade plants prefer well illuminated areas even some direct sunlight such an Eeast or West facing windows.  </p>
<p>Water: 2 small cups of water once every 7 to 10 days </p>
<p>You can mist daily or as often as you can </p>
<p>Planter Dimentions:</p>
<p>Double planter has a drainage hole and watering tray</p>
<p>Double Round shape planter measures 10 inches diameter by 14 inches height. </p>
<p>Total height :22 inches tall  </p>",JUSTPLANTS,,,"Easy care, high light, medium Light, Medium Light High, pet friendly, potted plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,145.00,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220315_220141_0000.png?v=1647406982,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
jade-tree-in-cement,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/36680.jpg?v=1647406982,2,,,,,,,,,,,,,,,,,,,,,,
jade-in-cement,Jade tree in Cement,"<p>Add color and texture with this amazing and easy to grow Jade plants,   potted in a ultra modern Cement planter and topped with charcoal pebbles.</p>
<p>About the Plant </p>
<p>Jade plants prefer well illuminated areas even some direct sunlight such an Eeast or West facing windows.  </p>
<p>Water: 1 small cup of water once every 7 to 10 days </p>
<p>You can mist daily or as often as you can </p>
<p>Planter Dimentions:</p>
<p>Cylinder shape planter 7 inches diameter by 7 inches height. </p>",JUSTPLANTS,,,"high light, medium Light, Medium Light High, pet friendly, potted plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,44.99,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMG_20220129_121830_252_1e76e40e-8e24-456c-b80a-1327599bd923.jpg?v=1643754188,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
jade-in-cement,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMAGE_EDIT_1b7855db-69c0-4018-b91f-6f318dc93223.png?v=1643754189,2,,,,,,,,,,,,,,,,,,,,,,
jade-in-cement,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMG_20220129_121830_252_2b9fc06e-a405-453a-ae9d-10b2a7706bfe.jpg?v=1643754189,3,,,,,,,,,,,,,,,,,,,,,,
peperomia-in-cement,Peperomia marble in Cement,"<p>Add color and texture with this amazing and easy to grow peperomias,  potted in a ultra modern Cement planter and topped with charcoal pebbles.</p>
<p>About the Plant </p>
<p>Peperomias prefer well illuminated areas, such a North, east or West facing windows, this plants tolerate lower light levels  </p>
<p>Water: 1 small cup of water once every 7 to 10 days </p>
<p>You can mist daily or as often as you can </p>
<p>Planter Dimentions:</p>
<p>8 inches diameter by 4 inches height. </p>",JUSTPLANTS,,,"gift, medium Light, Medium Light High, Medium Light Low, pet friendly, potted plant",false,Color,Marble,,,,,"",0.0,shopify,deny,manual,44.99,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33733.jpg?v=1643754299,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMG_20220129_121840_626.jpg?v=1643754299,kg,,,draft
peperomia-in-cement,,,,,,,,,Green,,,,,"",0.0,shopify,deny,manual,44.99,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMG_20220129_121836_258.jpg?v=1643754299,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33735.jpg?v=1643754277,kg,,,
peperomia-in-cement,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMG_20220129_121840_626.jpg?v=1643754299,3,,,,,,,,,,,,,,,,,,,,,,
peperomia-in-cement,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMG_20220129_121857_136.jpg?v=1643754299,4,,,,,,,,,,,,,,,,,,,,,,
peperomia-in-cement,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33735.jpg?v=1643754277,5,,,,,,,,,,,,,,,,,,,,,,
peperomia-in-cement,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33734.jpg?v=1643754277,6,,,,,,,,,,,,,,,,,,,,,,
ric-rac-cactus-in-cement,Ric Rac Cactus in Cement,"<p>Add color and texture with this amazing Ric rac cactus center piece,  potted in a ultra modern Cement planter and topped with charcoal pebbles.</p>
<p>About the Plant </p>
<p>Ric rac cactus prefer well illuminated areas, such a North, east or West facing windows,. </p>
<p>Water: 1 small cup of water once every 10 days </p>
<p>You can mist daily or as often as you can </p>
<p>Planter Dimentions:</p>
<p>8 inches diameter by 4 inches height. </p>",JUSTPLANTS,,,"gift, medium Light, Medium Light High, Medium Light Low, pet friendly, potted plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,44.99,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMG_20220129_121845_475.jpg?v=1643753527,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
ric-rac-cactus-in-cement,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/IMG_20220129_121849_847.jpg?v=1643753563,2,,,,,,,,,,,,,,,,,,,,,,
chlorophytum-orchidastrum,Chlorophytum orchidastrum,"<p>Chlorophytum orchidastrum is related to the well known and easy to care for spider plant. Like its counterpart, it is easy to care for and is a great plant for those who have a tendency to underwater as it stores water in its roots to protect against drought.</p>
<p>Light: Bright indirect light, tolerant of lower light conditions but its rate of growth will slow.</p>
<p>Water: This plant likes for the soil to remain slightly moist at all times, it can tolerate drying out between waterings but prefers to be watered roughly every 7-10 days dependent on the season.</p>
<p>Toxicity: Non-toxic</p>
<p>Size : 6 inch pot</p>",JUSTPLANTS,,,"Easy care, medium Light, Medium Light Low, Pet friendly, Tropical plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,18.99,,true,true,'74950838,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33727.jpg?v=1644079110,1,,false,,,,,,,,,,,,,,,,,kg,,4.80,draft
chlorophytum-orchidastrum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33725.jpg?v=1643755331,2,,,,,,,,,,,,,,,,,,,,,,
chlorophytum-orchidastrum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33726.jpg?v=1643755331,3,,,,,,,,,,,,,,,,,,,,,,
alocasia-polly,Alocasia polly,"<p data-mce-fragment=""1"">Alocasia polly is one of the most striking plants in the <span data-mce-fragment=""1"">Araceae family, with dark green waxy leaves and a purple underside to the leaf it almost looks otherworldly.</span></p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: very bright indirect light <br data-mce-fragment=""1"">Water: every 7 to 10 days, allowing the soil to dry 2 inches down<br data-mce-fragment=""1"">Toxicity: toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in a 6 inch pot.</p>",JUSTPLANTS,,,"Medium Light High, Medium Light Low, Tropical plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,26.99,,true,true,'71141814,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33724.jpg?v=1644540862,1,,false,,,,,,,,,,,,,,,,,kg,,9.50,active
alocasia-polly,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33723.jpg?v=1643755024,2,,,,,,,,,,,,,,,,,,,,,,
alocasia-polly,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33717.jpg?v=1643755024,3,,,,,,,,,,,,,,,,,,,,,,
peperomia-obtusifolia,Peperomia obtusifolia,"<p>Peperomia obtusifolia is a fast growing, easy to care for plant with beautiful dark green waxy leaves. </p>
<p>Light: Medium to bright indirect light is optimal but it can tolerate lower light levels.</p>
<p>Water: Allow the plant to dry between waterings.</p>
<p>Comes in a 4 inches nursery pot or 8"" hanging basket</p>
<p>Toxicity: Non toxic</p>",JUSTPLANTS,,,"Easy care, Medium Light Low, Pet friendly, Tropical plant",true,Color,Green,,,,,"",0.0,shopify,deny,manual,8.99,,true,true,'61147574,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33755.jpg?v=1643773741,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33754.jpg?v=1643773741,kg,,2.00,active
peperomia-obtusifolia,,,,,,,,,Marble,,,,,"",0.0,shopify,deny,manual,8.99,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33754.jpg?v=1643773741,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33757.jpg?v=1643773741,kg,,2.00,
peperomia-obtusifolia,,,,,,,,,"8"" Hanging basket Marble",,,,,"",0.0,shopify,deny,manual,22.99,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33758.jpg?v=1643773741,3,,,,,,,,,,,,,,,,,,,kg,,8.50,
peperomia-obtusifolia,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33757.jpg?v=1643773741,4,,,,,,,,,,,,,,,,,,,,,,
copy-of-chinese-evergreen-plant,Aglaonema Cherry Pink,"<p data-mce-fragment=""1"">Aglaonemas are easy plants to grow, prefers shaded locations away from direct sunlight and moderate watering. </p>
<p data-mce-fragment=""1"">Botanical name: Aglaonema or Chinese evergreen </p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: Bright indirect light, keep off direct sunlight <br data-mce-fragment=""1"">Water: every 10 to 14 days, allowing the soil to dry 2 inches down<br data-mce-fragment=""1"">Toxicity: toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in a 4 inches pot.<br data-mce-fragment=""1""></p>",JUSTPLANTS,,Tropical Plants,"Easy care, Low light, Medium Light Low, plant",false,Title,Default Title,,,,,"",1500.0,shopify,deny,manual,13.99,,true,true,'06374070,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/P3291204_1.jpg?v=1648596717,1,,false,,,,,,,,,,,,,,,,,kg,,3.75,draft
birdnest-fern,Birdnest Fern,"<p data-mce-fragment=""1"">Handsome and very unique looking Fern <br></p>
<p data-mce-fragment=""1"">This ferns displays a pale green almost ashy color, keep it off direct sunlight <br>Botanical name: Asplenium Antiquum ""Crissie""</p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: Indirect light, tolerates shade very well  <br data-mce-fragment=""1"">Water: every 5  to 7 days, allowing the soil to dry 2 inches down<br data-mce-fragment=""1"">Toxicity: Non-toxic <br data-mce-fragment=""1"">Size: comes in a 6 or 4 inch nursery pot.</p>",JUSTPLANTS,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,"Low light, Medium Light Low, new, Pet friendly, plant, Tropical plant",false,Size,"Medium (6"")",,,,,"",600.0,shopify,deny,manual,14.99,16.99,true,true,'92513206,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_132346.jpg?v=1652362734,1,Birdnest Fern - JUSTPLANTS,false,,,,,,,,,,,,,,,,,kg,,6.00,draft
birdnest-fern,,,,,,,,,"Small (4"")",,,,,"",600.0,shopify,deny,manual,11.99,16.99,true,true,'12423606,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_132350.jpg?v=1652362737,2,Birdnest Fern - JUSTPLANTS,,,,,,,,,,,,,,,,,,kg,,3.75,
birdnest-fern,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_132401.jpg?v=1652362740,3,Birdnest Fern - JUSTPLANTS,,,,,,,,,,,,,,,,,,,,,
copy-of-maidenhair-five-finger-fern,Rosy Maidenhair Fern,"<p data-mce-fragment=""1"">These beautiful  ferns prefer filtered light and moist soil  enjoy looking at those Delicate fronds</p>
<p data-mce-fragment=""1"">Botanical name: <span data-mce-fragment=""1"">Adiantum<br><br></span>Light: Low light, this plants enjoy dapple light <br data-mce-fragment=""1"">Water: weekly keeping the soil consistently moist <br data-mce-fragment=""1"">Toxicity: Non-Toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in an 4 inch nursery pot </p>
<p data-mce-fragment=""1""> </p>",JUSTPLANTS,,Planter,"Low light, Medium Light Low, Pet friendly",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,8.99,,true,true,'83043254,,,,false,,,,,,,,,,,,,,,,,kg,,2.00,draft
umbrella-tree,Umbrella tree,"<p data-mce-fragment=""1"">Beautiful large glossy leaves, easy to care </p>
<p data-mce-fragment=""1"">Botanical name: Schefflera Capella green<br data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: indirect light, keep off direct sunlight <br data-mce-fragment=""1"">Water: bi-weekly, allowing only the top soil to dry 3-4 inches down between waterings <br data-mce-fragment=""1"">Toxicity: toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in a 6  inches nursery pot</p>",JUSTPLANTS,,Tropical Plants,"Easy care, Large Plants, Medium Light High, Medium Light Low, New arrivals, Tropical plant",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,19.99,17.99,true,true,'79471542,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220623_125150.jpg?v=1656015614,1,,false,,,,,,,,,,,,,,,,,kg,,7.50,active
umbrella-tree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220623_125006.jpg?v=1656014669,2,,,,,,,,,,,,,,,,,,,,,,
cactus-bunny-ears,Cactus Bunny ears,"<p data-mce-fragment=""1"">Super cute and resilient little cactus </p>
<p data-mce-fragment=""1"">Botanical name: Opuntia microdasys</p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1""> Light: very bright to direct sunlight <br data-mce-fragment=""1""> Water: every 2 to 3 weeks, allow the soil to dry in between waterings <br data-mce-fragment=""1""> Toxicity: non-toxic to pets if ingested <br data-mce-fragment=""1""> Size: comes in a2 inches nursery <br data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>",Just Plants BC,,Tropical Plants,"Easy care, High Light, Medium Light High, Super Easy Care, Tropical plant",false,Title,Default Title,,,,,"",453.59237,shopify,deny,manual,5.99,,true,true,'90047670,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_132323.jpg?v=1652362869,1,Cactus Bunny ears - JUSTPLANTS,false,,,,,,,,,,,,,,,,,lb,,1.95,draft
cactus-bunny-ears,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_132326.jpg?v=1652362871,2,Cactus Bunny ears - JUSTPLANTS,,,,,,,,,,,,,,,,,,,,,
cactus-bunny-ears,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_132201.jpg?v=1652362873,3,Cactus Bunny ears - JUSTPLANTS,,,,,,,,,,,,,,,,,,,,,
kalanchoe-nigra,Kalanchoe Nigra,"<p data-mce-fragment=""1"">Fuzzy leaves, super cute plant, Desert loving </p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: Very bright location with some direct sunlight<br data-mce-fragment=""1"">Water: every 7 to 10 days, allowing the soil to dry in between waterings , never let it sit in water for prolong periods of time</p>
<p data-mce-fragment=""1""><br data-mce-fragment=""1"">Toxicity: non-toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in a 4 inches pot.</p>",Just Plants BC,,,"High Light, Medium Light High, Pet friendly, Tropical plant",true,Title,Default Title,,,,,"",1000.0,shopify,deny,manual,8.99,12.00,true,true,'74777782,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_131858.jpg?v=1643169385,1,,false,,,,,,,,,,,,,,,,,kg,,2.95,active
kalanchoe-nigra,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_131854.jpg?v=1643169336,2,,,,,,,,,,,,,,,,,,,,,,
kalanchoe-nigra,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220125_131906.jpg?v=1643169329,3,,,,,,,,,,,,,,,,,,,,,,
mistletoe-cactus,Mistletoe Cactus,"<p>Fast growing and easy plant to care for, Stunning and rare plants </p>
<p data-mce-fragment=""1"">Botanical name: Rhipsalis Burchel</p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: bright filtered light with some direct sunlight <br data-mce-fragment=""1"">Water: allow soil to dry two inches from the top down in between waterings. <br data-mce-fragment=""1"">Toxicity: Non-toxic to pets<br data-mce-fragment=""1"">Size: comes in a 4 inches nursery pot</p>",Just Plants BC,,Tropical Plants,"easy care, Medium Light High, Medium Light Low, Pet friendly, plant, Tropical plant",true,Title,Default Title,,,,,"",453.59237,shopify,deny,manual,10.99,12.99,true,true,'62391478,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33776.jpg?v=1643942201,1,,false,,,,,,,,,,,,,,,,,lb,,1.49,active
mistletoe-cactus,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33777.jpg?v=1643773936,2,,,,,,,,,,,,,,,,,,,,,,
mistletoe-cactus,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/33778.jpg?v=1643773936,3,,,,,,,,,,,,,,,,,,,,,,
copy-of-string-of-turtles,String of Pearls,"<p><span data-mce-fragment=""1"">String of Pearls are beautiful desert climate, low watering and high light </span></p>
<p data-mce-fragment=""1"">Botanical name: Senecio Rowleyanus </p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: Bright indirect light a North or East facing windows are ideal <br data-mce-fragment=""1"">Water: every 7 to 10 days, allowing the soil to dry 2 inches down<br data-mce-fragment=""1"">Toxicity: Non-toxic to pets <br data-mce-fragment=""1"">Size: comes in a 4 inches pot.</p>",JUSTPLANTS,,Tropical Plants,"high light, Medium Light High, Pet friendly, plant, Tropical plant",false,Title,Default Title,,,,,"",250.0,shopify,deny,manual,11.99,,true,true,'54854838,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/P5032151.jpg?v=1651617710,1,,false,,,,,,,,,,,,,,,,,kg,,3.75,draft
copy-of-string-of-turtles,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/P5032153.jpg?v=1651617710,2,,,,,,,,,,,,,,,,,,,,,,
copy-of-string-of-turtles,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/P5032152.jpg?v=1651617710,3,,,,,,,,,,,,,,,,,,,,,,
jasmin,Jasmin,"",JUSTPLANTS,,,"",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,24.99,,true,true,'23290550,,,,false,,,,,,,,,,,,,,,,,kg,,9.50,draft
copy-of-4in-calathea-zebrina,Calathea  Jungle Velvet,"<p data-mce-fragment=""1"">Calatheas also known as prayer plants,  this tropical plants enjoy shady locations and high humidity, most f them are native to the amazon forest in South America,<br data-mce-fragment=""1"">Watch these plants move their leaves at night due to an effect called <span data-mce-fragment=""1"">nyctinasty movement</span></p>
<p data-mce-fragment=""1"">Botanical name: calathea warscewiczii<br data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: indirect light, keep off direct sunlight <br data-mce-fragment=""1"">Water: weekly, allowing only the top soil to dry in between waterings <br data-mce-fragment=""1"">Toxicity: Non-toxic to pets<br data-mce-fragment=""1"">Size: comes in a 4 inches nursery pot</p>",Just Plants BC,,Tropical Plants,"Medium Light High, Medium Light Low, Pet friendly, rare plants, Tropical plant",false,Title,Default Title,,,,,"",1000.0,shopify,deny,manual,9.99,15.99,true,true,'06808246,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_170057.jpg?v=1652362871,1,Calathea  Jungle Velvet - JUSTPLANTS,false,,,,,,,,,,,,,,,,,kg,,4.00,draft
copy-of-4in-calathea-zebrina,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_170102.jpg?v=1652362875,2,Calathea  Jungle Velvet - JUSTPLANTS,,,,,,,,,,,,,,,,,,,,,
copy-of-4in-calathea-zebrina,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_170114.jpg?v=1652362879,3,Calathea  Jungle Velvet - JUSTPLANTS,,,,,,,,,,,,,,,,,,,,,
copy-of-dragon-tree,Dracaena Jade,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1"">Dracaenas are popular houseplants that require very minimum care,</p>
<p data-mce-fragment=""1"">Botanical name: Dracaena Warneckei Jade Jewel</p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: very bright location - tolerates lower light levels <br data-mce-fragment=""1"">Water: every two weeks allowing the soil to dry at least half way down in between waterings.<br data-mce-fragment=""1"">Toxicity: toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in a 6 inches nursery pot.</p>",JUSTPLANTS,,,"Low light, Super Easy Care, Tropical plant",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,16.99,,true,true,'95946166,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173122.jpg?v=1644541141,1,,false,,,,,,,,,,,,,,,,,kg,,6.00,draft
copy-of-dragon-tree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173126.jpg?v=1643081714,2,,,,,,,,,,,,,,,,,,,,,,
copy-of-dragon-tree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173128.jpg?v=1643081819,3,,,,,,,,,,,,,,,,,,,,,,
copy-of-dragon-tree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173132.jpg?v=1643081818,4,,,,,,,,,,,,,,,,,,,,,,
sugar-vine,Sugar Vine,"<p data-mce-fragment=""1"">Beautiful and easy fast growing vine</p>
<p data-mce-fragment=""1"">Botanical name: Parthonecissus Stricta </p>
<p>Care<br data-mce-fragment=""1"">Light: Low light tolerant plant, Indirect light is best keep off direct sunlight <br data-mce-fragment=""1"">Water: weekly, allowing only the top soil to dry in between waterings.<br data-mce-fragment=""1"">Toxicity: Toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in either a 4 inch, 6 inches or 8 inch nursery pot</p>
<p> </p>",JUSTPLANTS,,Tropical Plants,"Easy care, Low light, Medium Light High, Medium Light Low",true,Size,4 inch,,,,,"",4000.0,shopify,deny,manual,8.99,,true,true,'86246838,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173047.jpg?v=1643081925,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173052.jpg?v=1643081924,kg,,6.50,active
sugar-vine,,,,,,,,,6 inches basket,,,,,"",4000.0,shopify,deny,manual,12.99,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173052.jpg?v=1643081924,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173052.jpg?v=1643081924,kg,,6.50,
sugar-vine,,,,,,,,,8 inches basket,,,,,"",4000.0,shopify,deny,manual,19.99,,true,true,'01464758,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173056.jpg?v=1643081925,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173056.jpg?v=1643081925,kg,,6.50,
silver-lady-fern,Silver Lady Fern,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1"">These beautiful  ferns prefer filtered light and moist soil  </p>
<p data-mce-fragment=""1"">Botanical name: <span data-mce-fragment=""1"">Oceaniopteris gibba</span></p>
<p data-mce-fragment=""1"">Care:<br>Water your fern once every 5 to 7 days, place it away from direct sunlight <br></p>
<p data-mce-fragment=""1"">Comes in  6 inches nursery pot </p>",JUSTPLANTS,,,"Low light, Medium Light Low, Pet friendly, Tropical plant",false,Material,In Caramel blush ceramic,,,,,"",200.0,shopify,deny,manual,48.00,,true,true,'61728438,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173247.jpg?v=1643082694,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_172825.jpg?v=1643082693,kg,,6.00,draft
silver-lady-fern,,,,,,,,,In Concrete cylinder,,,,,"",200.0,shopify,deny,manual,38.00,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_172825.jpg?v=1643082693,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_173247.jpg?v=1643082694,kg,,6.00,
silver-lady-fern,,,,,,,,,In Plastic Nursery pot,,,,,"",200.0,shopify,deny,manual,15.99,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_172828.jpg?v=1643082694,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220124_172843.jpg?v=1643082693,kg,,6.00,
