Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hoya-lacunosa-silver-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220303_164003_4e239d64-5001-403e-aa9d-f24b9cecd7d4.jpg?v=1657333255,3,,,,,,,,,,,,,,,,,,,,,,
copy-of-alocasia-dragon-scale-1,Alocasia Sinuata,"<p>Alocasia Sinuata is one of the most distinctive members of the Alocasia family, with its striking dark and light green deeply veined foliage it instantly draws your attention. </p>
<p>Beautiful naturally shiny leaves you will want to Touch!!</p>
<p>Light requirements: For optimal growth place your Alocasia dragons scale in a spot with bright indirect light, avoid direct sun to prevent leaf scorch.</p>
<p>Water &amp; Soil : This plant loves a chunky aroid soil mixture containing coir, perlite and orchid bark. Soak the growing medium fully when watering and allow the pot to dry out half way down before watering again.</p>
<p>Size: 4 inch pot</p>",JUSTPLANTS,,,"Medium Light High, Medium Light Low, New arrivals, rare plants, Tropical plant",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,17.99,,true,true,'16412854,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_180106.jpg?v=1656555776,1,,false,,,,,,,,,,,,,,,,,kg,,3.95,active
copy-of-alocasia-dragon-scale-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_180119.jpg?v=1656555776,2,,,,,,,,,,,,,,,,,,,,,,
copy-of-alocasia-dragon-scale-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_180130.jpg?v=1656555798,3,,,,,,,,,,,,,,,,,,,,,,
copy-of-alocasia-dragon-scale-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_180144.jpg?v=1656555776,4,,,,,,,,,,,,,,,,,,,,,,
alocasia-silver-dragon,Alocasia Silver Dragon,"<p data-mce-fragment=""1"">Rare Alocasia, Scale like marking along the leaf, displays a beautiful matte Green-gray color with burgundy veins in the under side of the leaf, <br>The Textured leaves are hard to pass on!</p>
<p data-mce-fragment=""1"">Botanical name: Alocasia Baginda.<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1""> Light: Medium, Bright light am=n East or north facing windows are ideal<br data-mce-fragment=""1""> Water: weekly allowing the very top of the soil to dry in between waterings <br data-mce-fragment=""1""> Toxicity: toxic to pets if ingested <br data-mce-fragment=""1""> Size: comes in a 4 inches nursery pot.<br data-mce-fragment=""1""> <br data-mce-fragment=""1""></p>",Just Plants BC,,Tropical Plants,"Medium Light High, New arrivals, rare plants, Tropical plant",true,Title,Default Title,,,,,"",453.59237,shopify,deny,manual,17.99,,true,true,'13004982,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_175913.jpg?v=1656556186,1,,false,,,,,,,,,,,,,,,,,lb,,5.95,active
alocasia-silver-dragon,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_175857.jpg?v=1656556186,2,,,,,,,,,,,,,,,,,,,,,,
alocasia-silver-dragon,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_175903.jpg?v=1656556187,3,,,,,,,,,,,,,,,,,,,,,,
alocasia-silver-dragon,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_175937.jpg?v=1656556187,4,,,,,,,,,,,,,,,,,,,,,,
copy-of-philodendron-gloriosum,Philodendron Brandi,"<p data-mce-fragment=""1"">Philodendron Brandi has stunning silver leaves is a fast growing plant that will hang or climb up a pole </p>
<p data-mce-fragment=""1"">The plant is native to Colombia and other tropical parts of the world. Apart from Colombia, it is found in Mexico, Central America as well as Peru, Ecuador, the western parts of Brazil and Venezuela.</p>
<p data-mce-fragment=""1"">Botanical name: Philodendron Brandtianum</p>
<p data-mce-fragment=""1""> Soil: Aroid mix<br>Water: When the soil dried at least half way down<br>Light: Very bright light <br>High humidity </p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">Sizes:<br>Comes in a 4 inches nursery pot <br><br></p>",JUSTPLANTS,,,"Medium Light High, New arrivals, rare plants, Tropical plant",true,Title,Default Title,,,,,"",2000.0,shopify,deny,manual,16.99,,true,true,'10154166,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_180022.jpg?v=1656556351,1,,false,,,,,,,,,,,,,,,,,kg,,4.95,active
